joint_0,joint_1,joint_2,joint_3,joint_4,joint_5
-0.263508145009176,-0.651063279514648,-0.187920570373535,-2.71169914821767,4.2512092590332,-1.47982150713076
-0.275619808827535,-0.651087121372559,-0.187943458557129,-2.71169914821767,4.25118541717529,-1.47984534898867
-0.30435830751528,-0.651087121372559,-0.187909126281738,-2.71166338543081,4.2512092590332,-1.47982150713076
-0.310718361531393,-0.651111440067627,-0.187956809997559,-2.71166338543081,4.25122117996216,-1.47982150713076
-0.317108933125631,-0.651087121372559,-0.187909126281738,-2.71167530635976,4.25118541717529,-1.47982150713076
-0.329937760029928,-0.651099519138672,-0.187909126281738,-2.71168770412588,4.2512092590332,-1.47982150713076
-0.353043858204977,-0.651099519138672,-0.187909126281738,-2.71163906673574,4.25116157531738,-1.47985726991762
-0.356364075337545,-0.651147202854492,-0.187920570373535,-2.71167530635976,4.25118541717529,-1.47979766527285
-0.363056484852926,-0.651099519138672,-0.187909126281738,-2.71166338543081,4.25117301940918,-1.47982150713076
-0.369732681904928,-0.651087121372559,-0.187920570373535,-2.71160330394887,4.25113725662231,-1.47980910936464
-0.39969522157778,-0.651099519138672,-0.187909126281738,-2.71160330394887,4.24991703033447,-1.47980910936464
-0.407659832631246,-0.651063279514648,-0.187956809997559,-2.71160330394887,4.24955368041992,-1.47982150713076
-0.447466675435201,-0.651087121372559,-0.187956809997559,-2.71156754116201,4.24929523468018,-1.47976142564882
-0.457889858876364,-0.651111440067627,-0.187909126281738,-2.71160330394887,4.24930858612061,-1.47977334657778
-0.466512028370992,-0.651039437656738,-0.187932014465332,-2.71159138301992,4.2492847442627,-1.47974902788271
-0.514326397572653,-0.651099519138672,-0.187223434448242,-2.71148171047353,4.24922513961792,-1.479713741933
-0.52681285539736,-0.651099519138672,-0.18599796295166,-2.71144737819814,4.24921321868896,-1.479713741933
-0.547511879597799,-0.651111440067627,-0.182209968566895,-2.71136297802114,4.24920129776001,-1.47970134416689
-0.576227966939108,-0.651099519138672,-0.172325134277344,-2.71137537578725,4.24922513961792,-1.47962886491884
-0.588337246571676,-0.651111440067627,-0.165637016296387,-2.71139921764516,4.24915361404419,-1.47956592241396
-0.592399422322408,-0.651147202854492,-0.163189888000488,-2.71138729671621,4.24920129776001,-1.47950441042055
-0.600329701100485,-0.651183442478516,-0.157707214355469,-2.71139921764516,4.24916553497314,-1.47934896150698
-0.639282528554098,-0.651183442478516,-0.122254371643066,-2.71147122005605,4.2491774559021,-1.4782455603229
-0.64690620103945,-0.651147202854492,-0.114130973815918,-2.71144737819814,4.24916553497314,-1.47746831575503
-0.676600281392233,-0.651135281925537,-0.0809011459350586,-2.71148361782216,4.24912929534912,-1.47176486650576
-0.701052490864889,-0.651207284336426,-0.0538358688354492,-2.71150745968007,4.24898433685303,-1.46259099641909
-0.737298313771383,-0.651195363407471,-0.022395133972168,-2.7115436993041,4.24794673919678,-1.44694930711855
-0.747136894856588,-0.651195363407471,-0.0174932479858398,-2.71157946209096,4.24738788604736,-1.44109660783877
-0.753676239644186,-0.651171044712402,-0.0152196884155273,-2.71150745968007,4.24722623825073,-1.43687946001162
-0.794112030659811,-0.651183442478516,-0.0134553909301758,-2.71162762264394,4.24706268310547,-1.40488416353335
-0.809541527424948,-0.651195363407471,-0.0134191513061523,-2.71165146450185,4.24706268310547,-1.38925010362734
-0.831550900136129,-0.651231126194336,-0.0134792327880859,-2.71161522487783,4.24706268310547,-1.36058646837343
