x,y,z,qx,qy,qz,qw,time
0.8321751952171326,0.22475795447826385,0.25996100902557373,-0.08058314409093519,0.9956554276600602,0.028611428447343358,-0.03685122008407461,0.1589503288269043
0.8321476578712463,0.2248271107673645,0.26001664996147156,-0.0806403607293946,0.9956463251713142,0.028694306164298224,-0.03690750855910627,0.1626756191253662
0.8321309089660645,0.22485695779323578,0.26004400849342346,-0.08067894727871969,0.9956409278944615,0.028728359700701048,-0.03694227275575377,0.16722512245178223
0.8321142196655273,0.22488301992416382,0.2600708603858948,-0.08072489720130448,0.9956350154743738,0.02875781116633633,-0.03697830756136371,0.17093992233276367
0.8320836424827576,0.22493976354599,0.260127991437912,-0.08083721691616666,0.995621616553291,0.028818598888669604,-0.03704631386730517,0.17549753189086914
0.832068920135498,0.22497116029262543,0.2601585388183594,-0.08089920541556396,0.9956144453271417,0.02885032195307621,-0.037079020244096886,0.1792142391204834
0.8320549130439758,0.2250046581029892,0.2601897716522217,-0.08096102646186826,0.9956073013263401,0.028883488191152232,-0.03711007747006421,0.1837635040283203
0.8320314288139343,0.2250770926475525,0.2602540850639343,-0.08106678510685286,0.9955944531807283,0.02895919808408578,-0.03716484891040095,0.1874709129333496
0.8320208191871643,0.2251138687133789,0.26028621196746826,-0.08110691988875499,0.9955890398915191,0.028999585190113822,-0.03719079527037898,0.19201922416687012
0.8319965600967407,0.22518430650234222,0.26035019755363464,-0.08118400707936527,0.9955783218928438,0.029076475880216945,-0.037249436532034455,0.1957392692565918
0.8319846391677856,0.2252141386270523,0.26038113236427307,-0.08122184972213972,0.995573097193234,0.02911053263604594,-0.03727996998968304,0.20027709007263184
0.8319746255874634,0.22524045407772064,0.26041197776794434,-0.08125754647120878,0.9955681663794422,0.029142195214518246,-0.037309110032724135,0.2039937973022461
0.831957995891571,0.22529028356075287,0.2604755461215973,-0.08131501195992635,0.9955597165289908,0.029199702307873228,-0.0373643819673779,0.20853972434997559
0.8319496512413025,0.22531454265117645,0.2605085074901581,-0.08133679036544636,0.9955561068257922,0.02922595160736995,-0.037392625577284525,0.21226096153259277
0.8319419026374817,0.22533868253231049,0.2605419158935547,-0.08135267418975752,0.9955530217840127,0.02925214060705526,-0.0374197205869059,0.21691441535949707
0.8319311141967773,0.22539320588111877,0.26061272621154785,-0.08137534935887135,0.9955477632630317,0.029309312009969116,-0.037465554956503735,0.22053766250610352
0.8319259285926819,0.22541989386081696,0.2606494128704071,-0.08138268444935964,0.9955454974159832,0.029335885326645963,-0.03748902611006159,0.22506999969482422
0.8319132924079895,0.22546371817588806,0.26072248816490173,-0.08139156065726211,0.9955415348189541,0.029376330189596535,-0.0375432754123577,0.22881269454956055
0.8319084048271179,0.22548386454582214,0.260758638381958,-0.0813957261652903,0.9955397424439614,0.02939399371186036,-0.03756793992626369,0.23336482048034668
0.8319052457809448,0.22550413012504578,0.2607954144477844,-0.08140128426061802,0.9955379472821991,0.029411373325776546,-0.03758985981564024,0.2370927333831787
0.8318992257118225,0.2255379855632782,0.2608662247657776,-0.08141722574101241,0.995534253818653,0.029436798636252422,-0.03763322617613126,0.24164485931396484
